strain	date	clade_membership	country	region	age	age_range1	age_range2	age_range3	collab_country	date_added	symptom	author	accession	url
HongKong/CUHK09970	2015-10-04	B3	Hong Kong	China	8	6-17y	<18y	<18y		2019-07-15		Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.	MG739632	
EVD68/SZ01/CHN/2015	2015-11-23 (2015-11-01 - 2015-11-30)	B3	China	China			<18y	<18y		2019-07-15		Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.	KU982558	
HongKong/CUHK15980	2015-10-13	B3	Hong Kong	China	9	6-17y	<18y	<18y		2019-07-15		Wang,H., Tao,K., Tsun,G., Li,T., Tian,Q., Hong,K., Yeung,A., Chen,Z., Chan,P., Leung,T. and Chan,R.	MG739634	
SMC-15-Sendai830	2015-09-01 (2015-09-01 - 2015-09-26)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789265	
SMC-15-Sendai881	2015-09-01 (2015-09-01 - 2015-09-26)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789267	
SMC-15-Sendai823	2015-09-30 (2015-09-05 - 2015-09-30)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789264	
TU-15-Sendai727	2015-09-30 (2015-09-06 - 2015-09-30)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789224	
TU-15-Sendai728	2015-09-30 (2015-09-07 - 2015-09-30)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789223	
TU-15-Sendai729	2015-09-30 (2015-09-06 - 2015-09-30)	B3	Japan	Japan Korea						2019-07-15		Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	KX789222	
639-OsakaC-JPN-2015	2015-08-28	B3	Japan	Japan Korea	3.83	1-5y	<18y	<18y		2019-07-15		Kaida,A., Iritani,N., Yamamoto,S.P., Kanbayashi,D., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	LC107896	
EVD68/SZ02/CHN/2015	2015-11-21 (2015-11-01 - 2015-11-30)	B3	China	China			<18y	<18y		2019-07-15		Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.	KU982559	
EVD68/SZ03/CHN/2015	2015-11-21 (2015-11-01 - 2015-11-30)	B3	China	China			<18y	<18y		2019-07-15		Chen,L., Shi,L., Yang,H., Gu,D.Y., Meng,J., Xu,Y.Q., Yao,X.J., Zhang,H.L., Cheng,J.Q., Ma,H.W., Zhang,R.L. and He,Y.Q.	KU982560	
CA/AFP/11-1767	2013-01-01 (2013-01-01 - 2013-03-21)	B1	USA	North America						2019-07-15		Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.	KM892501	
2013-0720-6	2013-07-20	B1	China	China	5	1-5y	<18y	<18y		2019-07-15		Zhang,T.	KT280504	
CA/AFP/v12T00346	2013-01-01 (2012-12-07 - 2013-01-01)	B1	USA	North America			<18y	<18y		2019-07-15	AFM	Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.	KM892499	
US/CO/13-60	2013-11-30 (2013-11-05 - 2013-11-30)	B1	USA	North America			<18y	<18y		2019-07-15	AFM	Greninger,A.L., Naccache,S.N., Yu,G., Messacar,K., Somasekar,S., Dominguez,S. and Chiu,C.Y.	KP100794	
NY329	2014-09-26	B1	USA	North America	8	6-17y	<18y	<18y		2019-07-15		Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.	KP745767	
NY160	2014-10-05	B1	USA	North America	11	6-17y	<18y	<18y		2019-07-15		Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.	KP745756	
USA/MI/2014-19082	2014-10-15	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KU669045	
USA/VA/2014-19178	2014-09-08	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995539	
USA/VA/2014-19218	2014-09-12	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995574	
EV-D68/Homosapiens/USA/C7730/2014	2014-09-11	B1	USA	North America	15	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255411	
USA/IA/2014-19171	2014-09-10	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995548	
EV-D68/Homosapiens/USA/C7716/2014	2014-07-26	B1	USA	North America	15	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255403	
EV-D68/Homosapiens/USA/C7715/2014	2014-07-22	B1	USA	North America	15	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255362	
EV-D68/Homosapiens/USA/C7714/2014	2014-07-20	B1	USA	North America	15	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255390	
EV-D68/Homosapiens/USA/C7729/2014	2014-09-08	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255378	
EV-D68/Homosapiens/USA/C7793/2014	2014-10-03	B1	USA	North America	15	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255379	
CAN14-144	2014-08-25 (2014-07-12 - 2014-11-03)	B1	Canada	North America						2019-07-15		McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	KP455279	
EV-D68/Homosapiens/USA/C7720/2014	2014-08-12	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255352	
EV-D68/Homosapiens/USA/C7721/2014	2014-08-14	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255415	
EV68/Ontario/C818712/2014	2014-09-15	B1	Canada	North America						2019-07-15		Eshaghi,A., Li,A., Banh,P., Patel,S.N. and Gubbay,J.B.	KT835408	
EV-D68/Homosapiens/USA/C7733/2014	2014-09-13	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255385	
EV-D68/Homosapiens/USA/C7731/2014	2014-09-12	B1	USA	North America	14	6-17y	<18y	<18y		2019-07-15		Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	KX255354	
USA/MI/2014-19265	2014-09-25	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KU669043	
USA/OH/2014-19192	2014-08-29	B1	USA	North America						2019-07-15		Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.	KT995557	
